block	rows	minOffset	maxOffset	centerOffset	aLimit	pLimit	qlineQTests	primeLines	qlineRows	fallbackRows	fallbackVerified	unresolved	fallbackQTests	noSkipQTests	baselineSampleRows	baselineSampleQTests	avgBaselineQTests	estimatedBaselineQTests	savingPct	speedup	seconds
0	1000000000	2	2000000000	50000	50000	250000	3360	1125	999999936	64	64	0	174	3534	1000000	2066673	2.066673000	2066673000.000	99.999829	584797.113752	48.256235
1	1000000000	2000000002	4000000000	2000050000	50000	250000	3403	1125	999999957	43	43	0	175	3578	0	0	0.000000000	0.000	0.000000	0.000000	21.789200
2	1000000000	4000000002	6000000000	4000050000	50000	250000	3348	1133	999999963	37	37	0	156	3504	0	0	0.000000000	0.000	0.000000	0.000000	21.910874
3	1000000000	6000000002	8000000000	6000050000	50000	250000	3378	1131	999999979	21	21	0	76	3454	0	0	0.000000000	0.000	0.000000	0.000000	22.011765
4	1000000000	8000000002	10000000000	8000050000	50000	250000	3407	1133	999999951	49	49	0	103	3510	0	0	0.000000000	0.000	0.000000	0.000000	22.179239
5	1000000000	10000000002	12000000000	10000050000	50000	250000	3361	1130	999999964	36	36	0	83	3444	0	0	0.000000000	0.000	0.000000	0.000000	22.119294
6	1000000000	12000000002	14000000000	12000050000	50000	250000	3346	1076	999999922	78	78	0	306	3652	0	0	0.000000000	0.000	0.000000	0.000000	21.264598
7	1000000000	14000000002	16000000000	14000050000	50000	250000	3343	1114	999999957	43	43	0	98	3441	0	0	0.000000000	0.000	0.000000	0.000000	21.721107
8	1000000000	16000000002	18000000000	16000050000	50000	250000	3368	1076	999999956	44	44	0	115	3483	0	0	0.000000000	0.000	0.000000	0.000000	21.231446
9	1000000000	18000000002	20000000000	18000050000	50000	250000	3370	1119	999999962	38	38	0	111	3481	0	0	0.000000000	0.000	0.000000	0.000000	21.957651
10	1000000000	20000000002	22000000000	20000050000	50000	250000	3393	1130	999999956	44	44	0	98	3491	0	0	0.000000000	0.000	0.000000	0.000000	22.446627
