rank	offset	pLimit	p97Frac	p997Frac	p97Run	p997Run	p97FirstSurv	p997FirstSurv	cand
1	8742	10000	0.695581014730	0.837970540098	11	20	2	4	611
2	45858	10000	0.721767594108	0.834697217676	15	36	3	11	611
3	7182	10000	0.708674304419	0.834697217676	14	25	3	4	611
4	-10032	10000	0.697217675941	0.829787234043	15	27	1	4	611
5	-11064	10000	0.692307692308	0.829787234043	12	24	1	1	611
6	-21952	10000	0.686688311688	0.829545454545	12	25	2	12	616
7	97356	10000	0.695581014730	0.828150572831	11	30	1	2	611
8	-10464	10000	0.698854337152	0.828150572831	11	29	1	1	611
9	8268	10000	0.693944353519	0.828150572831	14	25	1	1	611
10	-9786	10000	0.698854337152	0.828150572831	17	21	2	9	611
11	62702	10000	0.714285714286	0.827922077922	14	31	2	2	616
12	-73186	10000	0.689935064935	0.827922077922	11	24	4	4	616
13	-9342	10000	0.708674304419	0.826513911620	14	34	4	4	611
14	7134	10000	0.705400981997	0.826513911620	14	28	1	1	611
15	-9174	10000	0.703764320786	0.826513911620	15	25	1	5	611
16	44402	10000	0.691558441558	0.826298701299	10	31	1	1	616
17	-7186	10000	0.696428571429	0.826298701299	13	23	3	4	616
18	-74386	10000	0.706168831169	0.826298701299	13	21	2	2	616
19	-65904	10000	0.713584288052	0.824877250409	13	31	1	1	611
20	9192	10000	0.700490998363	0.824877250409	14	26	3	6	611
21	7938	10000	0.698854337152	0.824877250409	10	24	1	7	611
22	11004	10000	0.687397708674	0.824877250409	22	24	2	2	611
23	90252	10000	0.702127659574	0.824877250409	15	22	3	3	611
24	7638	10000	0.697217675941	0.824877250409	11	22	1	8	611
25	-13888	10000	0.698051948052	0.824675324675	17	27	1	1	616
26	70358	10000	0.707792207792	0.824675324675	14	25	1	1	616
27	-81316	10000	0.711038961039	0.824675324675	13	20	2	3	616
28	42752	10000	0.702922077922	0.824675324675	11	19	2	2	616
29	-65358	10000	0.687397708674	0.823240589198	14	31	2	2	611
30	8562	10000	0.680851063830	0.823240589198	15	28	2	3	611
31	-67332	10000	0.708674304419	0.823240589198	12	24	3	3	611
32	8898	10000	0.684124386252	0.823240589198	10	23	1	1	611
33	95796	10000	0.697217675941	0.823240589198	11	22	5	5	611
34	-35808	10000	0.693944353519	0.823240589198	14	22	3	3	611
35	10952	10000	0.699675324675	0.823051948052	16	28	1	1	616
36	-17584	10000	0.694805194805	0.823051948052	12	24	1	3	616
37	69758	10000	0.694805194805	0.823051948052	12	23	2	2	616
38	-90712	10000	0.706168831169	0.823051948052	14	20	1	1	616
39	-18172	10000	0.699675324675	0.823051948052	10	20	1	2	616
40	-12618	10000	0.697217675941	0.821603927987	17	33	6	6	611
41	-10134	10000	0.684124386252	0.821603927987	10	28	3	5	611
42	-6948	10000	0.700490998363	0.821603927987	12	27	2	9	611
43	98256	10000	0.703764320786	0.821603927987	15	25	1	1	611
44	-88518	10000	0.690671031097	0.821603927987	11	25	3	4	611
45	95286	10000	0.675941080196	0.821603927987	11	25	1	6	611
46	7428	10000	0.698854337152	0.821603927987	13	24	5	5	611
47	-10044	10000	0.689034369885	0.821603927987	11	22	2	2	611
48	-64518	10000	0.713584288052	0.821603927987	16	21	2	3	611
49	96186	10000	0.680851063830	0.821603927987	10	20	3	3	611
50	99564	10000	0.700490998363	0.821603927987	11	19	2	2	611
51	90492	10000	0.705400981997	0.821603927987	14	16	2	2	611
52	-7452	10000	0.693944353519	0.821603927987	10	16	1	4	611
53	17366	10000	0.673701298701	0.821428571429	19	40	1	4	616
54	-17566	10000	0.704545454545	0.821428571429	17	33	3	3	616
55	-40072	10000	0.722402597403	0.821428571429	14	31	2	2	616
56	4616	10000	0.694805194805	0.821428571429	14	30	3	4	616
57	11456	10000	0.711038961039	0.821428571429	17	29	3	3	616
58	-77878	10000	0.698051948052	0.821428571429	12	25	1	1	616
59	-16426	10000	0.714285714286	0.821428571429	16	24	4	4	616
60	-16336	10000	0.694805194805	0.821428571429	12	22	3	3	616
61	62744	10000	0.702922077922	0.821428571429	13	21	2	3	616
62	38132	10000	0.701298701299	0.821428571429	11	19	4	5	616
63	-75706	10000	0.688311688312	0.821428571429	13	19	2	2	616
64	64214	10000	0.704545454545	0.821428571429	16	16	2	3	616
65	-10242	10000	0.692307692308	0.819967266776	11	32	4	4	611
66	-80154	10000	0.685761047463	0.819967266776	11	29	1	2	611
67	44316	10000	0.708674304419	0.819967266776	17	28	9	9	611
68	-6894	10000	0.707037643208	0.819967266776	18	25	1	3	611
69	-96414	10000	0.697217675941	0.819967266776	12	25	1	1	611
70	-93048	10000	0.693944353519	0.819967266776	13	25	2	10	611
71	87222	10000	0.720130932897	0.819967266776	16	23	2	2	611
72	11628	10000	0.695581014730	0.819967266776	11	22	1	1	611
73	96126	10000	0.684124386252	0.819967266776	13	21	1	1	611
74	-36594	10000	0.705400981997	0.819967266776	12	20	1	1	611
75	9108	10000	0.689034369885	0.819967266776	13	20	1	1	611
76	-10884	10000	0.685761047463	0.819967266776	13	20	1	6	611
77	-29208	10000	0.715220949264	0.819967266776	10	18	9	10	611
78	-14908	10000	0.693181818182	0.819805194805	10	37	4	10	616
79	-20938	10000	0.701298701299	0.819805194805	12	35	1	1	616
80	64418	10000	0.694805194805	0.819805194805	13	30	3	3	616
81	-75358	10000	0.704545454545	0.819805194805	16	29	2	2	616
82	-16636	10000	0.698051948052	0.819805194805	15	29	3	3	616
83	-40804	10000	0.715909090909	0.819805194805	13	28	4	4	616
84	20456	10000	0.707792207792	0.819805194805	13	27	1	3	616
85	-80158	10000	0.691558441558	0.819805194805	13	24	1	2	616
86	-78508	10000	0.704545454545	0.819805194805	14	23	1	1	616
87	-32224	10000	0.694805194805	0.819805194805	9	21	5	5	616
88	37754	10000	0.709415584416	0.819805194805	13	17	2	2	616
89	-38434	10000	0.704545454545	0.819805194805	14	17	4	4	616
90	9528	10000	0.674304418985	0.818330605565	12	36	1	3	611
91	50604	10000	0.702127659574	0.818330605565	16	27	1	1	611
92	87366	10000	0.695581014730	0.818330605565	14	27	2	2	611
93	10578	10000	0.692307692308	0.818330605565	10	27	7	8	611
94	-49932	10000	0.687397708674	0.818330605565	14	27	4	4	611
