label	offset	knownP	nMod6	pLimit	smallLimit	admissible	blockedSmall	survivors	survivorsPer100kP	firstP	lastP	span	meanGap	first20Gap	last20Gap	maxGap	pAt500	pAt1000	pAt1500	pAt2000	pAt2500	pAt3000	bucket0	bucket100000	bucket200000	bucket300000	bucket400000	bucket500000	bucket600000	bucket700000	bucket800000	bucket900000	bucket1000000
e15000_d8742	8742		2	1000000	250000	39232	34516	4716	471.600000	61	999961	999900	212.067869	162.600000	357.600000	1710	90073	189019	299113	403363	511033	612751	561	489	457	475	469	492	481	457	413	422	0
e15000_d45858	45858		2	1000000	250000	39232	34646	4586	458.600000	97	999907	999810	218.061069	96.000000	273.000000	1650	84307	185161	287887	399151	510319	627139	579	490	489	446	453	432	416	445	433	403	0
e15000_d7182	7182		2	1000000	250000	39232	34589	4643	464.300000	31	999961	999930	215.409306	108.600000	262.500000	1854	88093	190891	295951	403141	510529	618589	558	482	482	464	463	475	438	427	431	423	0
e15000_d-10032	-10032		2	1000000	250000	39232	34525	4707	470.700000	31	999931	999900	212.473438	253.800000	145.500000	1470	89317	190507	290659	396577	515041	622561	555	503	496	461	421	463	441	462	457	448	0
e15000_d-11064	-11064		2	1000000	250000	39232	34572	4660	466.000000	3	999763	999760	214.586821	165.500000	252.300000	1872	87679	185767	289897	402613	511387	613747	564	522	463	440	458	480	428	423	438	444	0
e15000_d-21952	-21952		4	1000000	250000	39266	34611	4655	465.500000	89	999599	999510	214.763644	242.100000	201.600000	1806	89417	185651	292367	404009	511631	626177	550	520	459	451	466	437	450	472	426	424	0
e15000_d97356	97356		2	1000000	250000	39232	34607	4625	462.500000	13	999433	999420	216.137543	135.300000	199.500000	1722	93889	192889	295837	405277	514309	623677	532	497	493	455	467	446	462	414	444	415	0
e15000_d-10464	-10464		2	1000000	250000	39232	34552	4680	468.000000	37	999979	999942	213.708485	207.000000	193.500000	1986	89653	187129	290593	398473	505159	612319	556	514	476	461	471	475	414	460	423	430	0
e15000_d8268	8268		2	1000000	250000	39232	34610	4622	462.200000	37	999529	999492	216.293443	136.500000	245.400000	1620	89599	191977	296287	403957	512269	618301	559	476	479	470	465	464	437	449	414	409	0
e15000_d-9786	-9786		2	1000000	250000	39232	34578	4654	465.400000	3	999907	999904	214.894477	167.000000	249.000000	1668	91621	191803	300961	413113	517003	626317	544	492	460	451	456	471	424	426	470	460	0
e15000_d62702	62702		4	1000000	250000	39266	34560	4706	470.600000	23	999683	999660	212.467588	153.300000	238.500000	1530	95393	190313	294893	401039	501563	612083	523	519	478	474	499	454	443	440	440	436	0
e15000_d-73186	-73186		4	1000000	250000	39266	34648	4618	461.800000	3	999653	999650	216.515053	183.400000	182.100000	1896	90053	187217	289463	402581	515507	622613	552	514	480	444	444	464	432	471	392	425	0
e15000_d-9342	-9342		2	1000000	250000	39232	34583	4649	464.900000	31	999331	999300	214.995697	174.000000	199.200000	1842	88339	188911	289951	397867	506647	607951	555	503	487	467	461	482	446	432	404	412	0
e15000_d7134	7134		2	1000000	250000	39232	34596	4636	463.600000	271	999727	999456	215.632362	152.100000	157.800000	2100	87793	188491	289141	399391	516847	627901	576	484	498	446	434	448	421	447	456	426	0
e15000_d-9174	-9174		2	1000000	250000	39232	34594	4638	463.800000	3	999499	999496	215.547984	158.000000	175.500000	1704	88129	190543	290473	399667	504877	617119	563	490	497	451	478	446	433	449	396	435	0
e15000_d44402	44402		4	1000000	250000	39266	34635	4631	463.100000	71	999983	999912	215.963715	126.000000	232.200000	1452	93371	188333	295943	401669	511583	625319	545	511	463	473	449	453	433	421	461	422	0
e15000_d-7186	-7186		4	1000000	250000	39266	34530	4736	473.600000	23	999953	999930	211.178458	172.200000	254.100000	2100	86813	184463	285827	392981	498401	608897	560	518	489	464	476	445	461	444	437	442	0
e15000_d-74386	-74386		4	1000000	250000	39266	34617	4649	464.900000	107	999287	999180	214.969880	153.000000	208.500000	1848	87917	189743	294731	397721	509723	621527	572	477	475	486	445	448	467	446	419	414	0
e15000_d-65904	-65904		2	1000000	250000	39232	34582	4650	465.000000	7	999979	999972	215.093999	127.500000	338.100000	1500	88807	179383	288679	395107	503647	613549	578	511	456	472	467	453	440	442	408	423	0
e15000_d9192	9192		2	1000000	250000	39232	34559	4673	467.300000	43	999541	999498	213.933647	161.400000	195.900000	1890	84649	186013	286873	398113	512503	622351	582	490	481	456	445	443	438	464	446	428	0
e15000_d7938	7938		2	1000000	250000	39232	34568	4664	466.400000	61	999769	999708	214.391593	118.800000	188.400000	1680	93229	193789	301447	406381	517381	620437	541	494	455	480	450	475	465	441	422	441	0
e15000_d11004	11004		2	1000000	250000	39232	34556	4676	467.600000	43	999883	999840	213.869519	169.500000	213.000000	1740	82531	181081	286753	397057	504943	617467	595	507	466	443	472	433	467	426	451	416	0
e15000_d90252	90252		2	1000000	250000	39232	34521	4711	471.100000	79	999931	999852	212.282803	121.200000	215.400000	1638	82021	176779	280603	385501	504121	612169	599	516	477	470	425	468	454	441	417	444	0
e15000_d7638	7638		2	1000000	250000	39232	34604	4628	462.800000	67	999067	999000	215.906635	150.000000	186.900000	1638	86959	192859	295831	397297	515377	626347	565	474	483	491	426	441	439	444	434	431	0
e15000_d-13888	-13888		4	1000000	250000	39266	34606	4660	466.000000	41	999653	999612	214.555055	83.400000	242.100000	1218	86783	188999	298343	399281	506351	617951	563	478	471	489	472	452	449	402	445	439	0
e15000_d70358	70358		4	1000000	250000	39266	34534	4732	473.200000	89	999809	999720	211.312619	102.600000	191.100000	1434	91127	191837	292469	400721	508817	613367	542	491	503	461	468	467	445	441	466	448	0
e15000_d-81316	-81316		4	1000000	250000	39266	34539	4727	472.700000	3	999917	999914	211.577232	116.500000	232.200000	1740	88007	191297	291041	396533	504221	614687	564	482	495	479	459	453	473	408	445	469	0
e15000_d42752	42752		4	1000000	250000	39266	34645	4621	462.100000	149	999953	999804	216.407792	171.600000	372.000000	2106	88853	186071	295271	400871	511361	620099	565	499	458	473	448	450	469	443	406	410	0
e15000_d-65358	-65358		2	1000000	250000	39232	34562	4670	467.000000	163	999181	999018	213.968302	129.300000	212.400000	2022	92119	187921	294799	403681	519391	624241	549	501	476	458	428	474	457	457	437	433	0
e15000_d8562	8562		2	1000000	250000	39232	34519	4713	471.300000	19	999769	999750	212.171053	152.100000	257.400000	1680	87679	191119	287233	395449	508033	613813	562	479	517	465	448	467	455	459	438	423	0
e15000_d-67332	-67332		2	1000000	250000	39232	34611	4621	462.100000	19	999667	999648	216.374026	100.500000	258.300000	1608	92581	192757	296797	399271	512059	625129	544	486	485	489	441	453	429	441	401	452	0
e15000_d8898	8898		2	1000000	250000	39232	34588	4644	464.400000	211	999727	999516	215.273745	157.500000	142.800000	1620	85369	186619	292081	396631	509737	618799	579	491	468	473	454	450	442	447	442	398	0
