label	offset	sourceRank	exactP	status	c_or_lower	qTests	seconds
e15000_d64268	64268	184	381047	found	11.032219228	2210	915.606
e15000_d64214	64214	64	432737	found	12.528767979	2209	883.538
e15000_d41828	41828	195	358607	found	10.382527721	1897	743.347
e15000_d46362	46362	164	299191	found	8.662292848	1751	695.728
e15000_d9138	9138	158	127837	found	3.701185968	760	295.304
e15000_d-10134	-10134	41	90373	found	2.616513838	578	234.865
e15000_d-93048	-93048	70	7459	found	0.215955835	90	38.746
e15000_d69758	69758	37	386537	found	11.191167818	1956	823.556
e15000_d-77368	-77368	185	0	gt_1M	28.952384424	4774	1845.52
e15000_d89862	89862	100	190369	found	5.511636471	1103	441.525
